19.04.27,롯데,두산,0,7,두산
19.04.27,한화,NC,1,15,NC
19.04.28,KIA,키움,5,13,키움
19.04.28,LG,삼성,2,1,LG
19.04.28,SK,KT,3,0,SK
19.04.28,롯데,두산,2,9,두산
19.04.28,한화,NC,4,10,NC
19.04.30,KT,LG,9,10,LG
19.04.30,NC,롯데,1,6,롯데
19.04.30,두산,한화,1,2,한화
19.04.30,삼성,KIA,0,8,KIA
19.04.30,키움,SK,15,5,키움
19.05.01,KT,LG,2,3,LG
19.05.01,NC,롯데,9,5,NC
19.05.01,두산,한화,1,4,한화
19.05.01,삼성,KIA,10,2,삼성
19.05.01,키움,SK,0,2,SK
19.05.02,KT,LG,4,5,LG
19.05.02,NC,롯데,7,6,NC
19.05.02,두산,한화,5,4,두산
19.05.02,삼성,KIA,1,8,KIA
19.05.02,키움,SK,10,8,키움
19.05.03,KIA,NC,8,4,KIA
19.05.03,KT,한화,5,4,KT
19.05.03,LG,두산,2,7,두산
19.05.03,SK,롯데,11,7,SK
19.05.03,삼성,키움,3,8,키움
19.05.04,KIA,NC,1,4,NC
19.05.04,KT,한화,9,10,한화
19.05.04,LG,두산,2,3,두산
19.05.04,SK,롯데,10,4,SK
19.05.04,삼성,키움,3,1,삼성
19.05.05,KIA,NC,3,10,NC
19.05.05,KT,한화,4,6,한화
19.05.05,LG,두산,2,11,두산
19.05.05,SK,롯데,4,3,SK
19.05.05,삼성,키움,2,12,키움
19.05.07,KIA,두산,3,4,두산
19.05.07,LG,키움,12,10,LG
19.05.07,NC,삼성,3,6,삼성
19.05.07,롯데,KT,2,7,KT
19.05.07,한화,SK,2,11,SK
19.05.08,KIA,두산,0,1,두산
19.05.08,LG,키움,0,6,키움
19.05.08,NC,삼성,0,2,삼성
19.05.08,롯데,KT,4,5,KT
19.05.08,한화,SK,2,17,SK
19.05.09,KIA,두산,5,3,KIA
19.05.09,LG,키움,1,2,키움
19.05.09,NC,삼성,4,6,삼성
19.05.09,롯데,KT,13,6,롯데
19.05.09,한화,SK,6,1,한화
19.05.10,SK,KIA,4,1,SK
19.05.10,두산,NC,11,12,NC
19.05.10,롯데,삼성,12,5,롯데
19.05.10,키움,KT,6,7,KT
19.05.10,한화,LG,5,2,한화
19.05.11,SK,KIA,10,3,SK
19.05.11,두산,NC,12,0,두산
19.05.11,롯데,삼성,2,9,삼성
19.05.11,키움,KT,6,2,키움
19.05.11,한화,LG,4,6,LG
19.05.12,SK,KIA,4,3,SK
19.05.12,두산,NC,3,2,두산
19.05.12,롯데,삼성,10,9,롯데
19.05.12,키움,KT,3,9,KT
19.05.12,한화,LG,0,2,LG
19.05.14,KT,KIA,6,1,KT
19.05.14,LG,롯데,0,4,롯데
19.05.14,SK,NC,2,8,NC
19.05.14,삼성,두산,4,3,삼성
19.05.14,키움,한화,3,7,한화
19.05.15,KT,KIA,7,4,KT
19.05.15,LG,롯데,4,8,롯데
19.05.15,SK,NC,7,3,SK
19.05.15,삼성,두산,1,3,두산
19.05.15,키움,한화,4,5,한화
19.05.16,KT,KIA,6,3,KT
19.05.16,LG,롯데,3,2,LG
19.05.16,SK,NC,2,5,NC
19.05.16,삼성,두산,1,4,두산
19.05.16,키움,한화,6,15,한화
19.05.17,KIA,한화,5,2,KIA
19.05.17,NC,LG,13,2,NC
19.05.17,두산,SK,3,1,두산
19.05.17,롯데,키움,0,7,키움
19.05.17,삼성,KT,14,3,삼성
19.05.18,KIA,한화,2,5,한화
19.05.18,NC,LG,9,3,NC
19.05.18,두산,SK,10,5,두산
19.05.18,롯데,키움,1,13,키움
19.05.18,삼성,KT,0,2,KT
19.05.19,KIA,한화,5,0,KIA
19.05.19,롯데,키움,3,9,키움
19.05.21,NC,키움,3,1,NC
19.05.21,SK,LG,4,2,SK
19.05.21,두산,KT,7,12,KT
19.05.21,롯데,KIA,6,10,KIA
19.05.21,한화,삼성,3,9,삼성
19.05.22,NC,키움,2,4,키움
19.05.22,SK,LG,2,0,SK
19.05.22,두산,KT,1,3,KT
19.05.22,롯데,KIA,5,6,KIA
19.05.22,한화,삼성,5,6,삼성
19.05.23,NC,키움,4,2,NC
19.05.23,SK,LG,1,2,LG
19.05.23,두산,KT,2,3,KT
19.05.23,롯데,KIA,1,3,KIA
19.05.23,한화,삼성,1,2,삼성
19.05.24,KT,KIA,5,7,KIA
19.05.24,LG,롯데,5,8,롯데
19.05.24,SK,NC,4,2,SK
19.05.24,키움,삼성,10,5,키움
19.05.24,한화,두산,4,3,한화
19.05.25,KT,KIA,3,10,KIA
19.05.25,LG,롯데,6,5,LG
19.05.25,SK,NC,7,10,NC
19.05.25,키움,삼성,9,10,삼성
19.05.25,한화,두산,4,7,두산
19.05.26,KT,KIA,5,17,KIA
19.05.26,LG,롯데,11,2,LG
19.05.26,SK,NC,2,1,SK
19.05.26,키움,삼성,3,4,삼성
19.05.26,한화,두산,1,2,두산
19.05.28,KIA,한화,0,2,한화
19.05.28,KT,SK,0,1,SK
19.05.28,LG,키움,0,5,키움
19.05.28,롯데,NC,9,4,롯데
19.05.28,삼성,두산,1,4,두산
19.05.29,KIA,한화,3,1,KIA
19.05.29,KT,SK,8,6,KT
19.05.29,LG,키움,4,2,LG
19.05.29,롯데,NC,6,8,NC
19.05.29,삼성,두산,2,3,두산
19.05.30,KIA,한화,3,2,KIA
19.05.30,KT,SK,2,3,SK
19.05.30,LG,키움,6,3,LG
19.05.30,롯데,NC,10,2,롯데
19.05.30,삼성,두산,2,1,삼성
19.05.31,NC,LG,2,3,LG
19.05.31,두산,KT,2,3,KT
19.05.31,삼성,롯데,1,6,롯데
19.05.31,키움,KIA,2,3,KIA
19.05.31,한화,SK,1,2,SK
19.06.01,NC,LG,1,5,LG
19.06.01,두산,KT,3,13,KT
19.06.01,삼성,롯데,2,5,롯데
19.06.01,키움,KIA,4,0,키움
19.06.01,한화,SK,6,0,한화
19.06.02,NC,LG,4,1,NC
19.06.02,두산,KT,7,4,두산
19.06.02,삼성,롯데,8,3,삼성
19.06.02,키움,KIA,6,5,키움
19.06.02,한화,SK,2,5,SK
19.06.04,KT,LG,4,8,LG
19.06.04,NC,삼성,1,3,삼성
19.06.04,SK,키움,2,1,SK
19.06.04,두산,KIA,7,2,두산
19.06.04,한화,롯데,2,3,롯데
19.06.05,KT,LG,2,9,LG
19.06.05,NC,삼성,3,4,삼성
19.06.05,SK,키움,6,2,SK
